model,forcing,initial_condition,tag,beaker_id,wandb_id
SHiELD-SOM-C24-tuned-cdmbgwd,1xCO2,ic1,,01JDSJHS6CGGJPEMVKHCBXBPB0,ai2cm/ace-som/nex9o82p
SHiELD-SOM-C24-tuned-cdmbgwd,1xCO2,ic2,,01JDSGAHDMHJ48KE1WQMG27F86,ai2cm/ace-som/6k886cfh
SHiELD-SOM-C24-tuned-cdmbgwd,1xCO2,ic3,,01JDSGB3XB5VH0JE74TEK06S8C,ai2cm/ace-som/lalqh6gc
SHiELD-SOM-C24-tuned-cdmbgwd,1xCO2,ic4,,01JDSGBPNE4SN0J61HF8YM376A,ai2cm/ace-som/4pbsuy2t
SHiELD-SOM-C24-tuned-cdmbgwd,1xCO2,ic5,,01JDSGC9CSTN5K2DF931X18K18,ai2cm/ace-som/8hxwhzj1
SHiELD-SOM-C24-tuned-cdmbgwd,2xCO2,ic1,,01JDSGA3V8J1RW2R2NBSVVTWCS,ai2cm/ace-som/a3fjzg25
SHiELD-SOM-C24-tuned-cdmbgwd,2xCO2,ic2,,01JDSGAP2PKQFQHDH18QK5XSE1,ai2cm/ace-som/svgjalcu
SHiELD-SOM-C24-tuned-cdmbgwd,2xCO2,ic3,,01JDSGB8SDW74YYVBGH0XZQKA6,ai2cm/ace-som/wegt2l2p
SHiELD-SOM-C24-tuned-cdmbgwd,2xCO2,ic4,,01JDSGBV28MB5GT8R7E1NJY6RP,ai2cm/ace-som/45f412xd
SHiELD-SOM-C24-tuned-cdmbgwd,2xCO2,ic5,,01JDSGCDTTDF9QWC9V9617W6N0,ai2cm/ace-som/twp6kp90
SHiELD-SOM-C24-tuned-cdmbgwd,3xCO2,ic1,,01JDSJHSAFRZPGTR7JXYNGRKHF,ai2cm/ace-som/cqg2ivt4
SHiELD-SOM-C24-tuned-cdmbgwd,3xCO2,ic2,,01JDSGATSZX6Y71M905MWF7Z92,ai2cm/ace-som/qogc8olu
SHiELD-SOM-C24-tuned-cdmbgwd,3xCO2,ic3,,01JDSGBDHVYXE90N6Y3RABXTBX,ai2cm/ace-som/5eu569qz
SHiELD-SOM-C24-tuned-cdmbgwd,3xCO2,ic4,,01JDSGBZY0C689D8JH18F4BWWG,ai2cm/ace-som/roe49dgt
SHiELD-SOM-C24-tuned-cdmbgwd,3xCO2,ic5,,01JDSGCJ7N3Q9P5CKSN4HMPDM3,ai2cm/ace-som/11qxl8o1
SHiELD-SOM-C24-tuned-cdmbgwd,4xCO2,ic1,,01JDSGACPFHX4TK7TRZQK4R3EG,ai2cm/ace-som/o8qvmvz6
SHiELD-SOM-C24-tuned-cdmbgwd,4xCO2,ic2,,01JDSGAZ5RPV0E4EXDQRT1F0Q7,ai2cm/ace-som/b8jvkwss
SHiELD-SOM-C24-tuned-cdmbgwd,4xCO2,ic3,,01JDSGBJ6DC6ARXQ4ABV5Q038V,ai2cm/ace-som/95j0efje
SHiELD-SOM-C24-tuned-cdmbgwd,4xCO2,ic4,,01JDSGC4P6Y54592DAV70SCNEE,ai2cm/ace-som/fvuh9lbk
SHiELD-SOM-C24-tuned-cdmbgwd,4xCO2,ic5,,01JDSGCQ1FA5YCMHE2BJ0SE16K,ai2cm/ace-som/p6mr6o6c
SHiELD-SOM-C96,1xCO2,ic1,,01JDHSVH98P1YTBHKD0THXEA8B,ai2cm/ace-som/9dccpp2f
SHiELD-SOM-C96,1xCO2,ic2,,01JDHSTZ2X0DJPQ8887SN82P97,ai2cm/ace-som/qu0bbsa5
SHiELD-SOM-C96,1xCO2,ic3,,01JDHSV83C8BVVFNZ66F77R2EV,ai2cm/ace-som/7d8l2k20
SHiELD-SOM-C96,1xCO2,ic4,,01JDHSV8YW943E1EYAGRG7MBEC,ai2cm/ace-som/lud25n77
SHiELD-SOM-C96,1xCO2,ic5,,01JDHSTZMHZBCSWYM5NDW77G78,ai2cm/ace-som/4q39pfmf
SHiELD-SOM-C96,2xCO2,ic1,,01JDHSVHYQ9MZHV2Z61YA64QNW,ai2cm/ace-som/9kpxw7yn
SHiELD-SOM-C96,2xCO2,ic2,,01JDHSVF00BVRRRWW2K47JD4W0,ai2cm/ace-som/iw2wufta
SHiELD-SOM-C96,2xCO2,ic3,,01JDJ1MARWH4XX247BN1EK9JZY,ai2cm/ace-som/vto56lyr
SHiELD-SOM-C96,2xCO2,ic4,,01JDJ1QP3DFJ5QEJ9RF7EEBD51,ai2cm/ace-som/j2yydm4u
SHiELD-SOM-C96,2xCO2,ic5,,01JDHSV92ZKQW4YBYVYS98ZHZN,ai2cm/ace-som/43tn0pv6
SHiELD-SOM-C96,3xCO2,ic1,,01JDHSTZWYWTSAGKCTGXMG13SP,ai2cm/ace-som/w2flifr0
SHiELD-SOM-C96,3xCO2,ic2,,01JDHSVFDRE34NPPJX48XXFFE6,ai2cm/ace-som/nfx7y0is
SHiELD-SOM-C96,3xCO2,ic3,,01JDHSVGMG4GCG0BWKBSR4G2J1,ai2cm/ace-som/fcavxrcy
SHiELD-SOM-C96,3xCO2,ic4,,01JDHSV8H6MB9GZNEJN0XXZQET,ai2cm/ace-som/e0fu55nt
SHiELD-SOM-C96,3xCO2,ic5,,01JDJ26MWWHC7BQV9X9MBBFSTZ,ai2cm/ace-som/cewx9t23
SHiELD-SOM-C96,4xCO2,ic1,,01JDJ1SGP5N1NKD1PTRHDE8H4P,ai2cm/ace-som/rt6xcr61
SHiELD-SOM-C96,4xCO2,ic2,,01JDHY1WZMD9GEYQ9DPE9J9D5K,ai2cm/ace-som/fmv1kzt4
SHiELD-SOM-C96,4xCO2,ic3,,01JDHSVEVPP964EK8F2H62VJ2M,ai2cm/ace-som/vs19kkup
SHiELD-SOM-C96,4xCO2,ic4,,01JDHSVHDM1HFF9ST7DTDG21FA,ai2cm/ace-som/r1t3w21s
SHiELD-SOM-C96,4xCO2,ic5,,01JDHSVFP27CJ453T7PAY6NVNE,ai2cm/ace-som/b33mwd47
ACE2-SOM-multi-climate-RS0,1xCO2,ic1,,01JDGKPPJ2S2BMZCB00X46Z15T,ai2cm/ace-som/sd1cbbsc
ACE2-SOM-multi-climate-RS0,1xCO2,ic2,,01JDGKPX885DGA4WBQ6X46K0EM,ai2cm/ace-som/407nk0nt
ACE2-SOM-multi-climate-RS0,1xCO2,ic3,,01JDGKQ2HJSGRDBCTS72WGVP1A,ai2cm/ace-som/bak4v7x1
ACE2-SOM-multi-climate-RS0,1xCO2,ic4,,01JDGKQ7ZEHZFT6XZGHXJXG3CR,ai2cm/ace-som/lm8e1cem
ACE2-SOM-multi-climate-RS0,1xCO2,ic5,,01JDGKQDYN49B2J9WRGVBHG7DA,ai2cm/ace-som/34rd8t9q
ACE2-SOM-multi-climate-RS0,2xCO2,ic1,,01JDGKQK9629128KG770ZR3X6W,ai2cm/ace-som/buf8mhtm
ACE2-SOM-multi-climate-RS0,2xCO2,ic2,,01JDGKQRS4NT6GEACNKMQJ2PZG,ai2cm/ace-som/ntyp8gfr
ACE2-SOM-multi-climate-RS0,2xCO2,ic3,,01JDGKQYB91GV4JEFKVXJMY60A,ai2cm/ace-som/xgmnfkvd
ACE2-SOM-multi-climate-RS0,2xCO2,ic4,,01JDGKR3MDMTZ1TB73H40MGWDR,ai2cm/ace-som/3jkjn4jx
ACE2-SOM-multi-climate-RS0,2xCO2,ic5,,01JDGKR9C0HPB6NBE7ERQ1RXXW,ai2cm/ace-som/0rpwkt9f
ACE2-SOM-multi-climate-RS0,3xCO2,ic1,,01JDGKRFE4T4VCNXM85SZVHBQ2,ai2cm/ace-som/bk9hfjj0
ACE2-SOM-multi-climate-RS0,3xCO2,ic2,,01JDGKRMQ4RQ5MZMDFKP54XQAK,ai2cm/ace-som/xw4c0o9j
ACE2-SOM-multi-climate-RS0,3xCO2,ic3,,01JDGKRTEVZV2Q9KTA1W9B553M,ai2cm/ace-som/gylrlgru
ACE2-SOM-multi-climate-RS0,3xCO2,ic4,,01JDGKS05Z1VJQ5NR7NW7FNBN4,ai2cm/ace-som/yuepuea3
ACE2-SOM-multi-climate-RS0,3xCO2,ic5,,01JDGKS5VVW2KYM164WFTYC7HH,ai2cm/ace-som/fhkur2ea
ACE2-SOM-multi-climate-RS0,4xCO2,ic1,,01JDGKSBEW0DNNMKC6YXV2K9B2,ai2cm/ace-som/sjnnjymw
